"AcceptedSymbol","AcceptedSpecies","SynonymSymbol","Symbol","ScientificName","USDA_CName","Family","FamilyCommonName","GrowthHabit","Duration","Guild","Guild_PCLTEM","Origin"
"CRATA","Crataegus","NA","CRATA","Crataegus","hawthorn","Rosaceae","Rose family","Tree","	Perennial","woody","woody","N"
"CRCA6","Croton capitatus","NA","CRCA6","Croton capitatus","hogwort","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"CRCA8","Cryptantha cana","NA","CRCA8","Cryptantha cana","mountain cryptantha","Boraginaceae","Borage family","Subshrub, Forb/herb","Perennial","forb","spring","N"
"CRCA9","Cryptotaenia canadensis","NA","CRCA9","Cryptotaenia canadensis","Canadian honewort","Apiaceae","Carrot family","Forb/herb","Perennial","forb","summer","N"
"CRCE","Cryptantha celosioides","NA","CRCE","Cryptantha celosioides","buttecandle","Boraginaceae","Borage family","Forb/herb","Biennial, Perennial","forb","spring","N"
"CRGL2","Croton glandulosus","NA","CRGL2","Croton glandulosus","vente conmigo","Euphorbiaceae","Spurge family","Subshrub, Forb/herb","Annual","forb","annual-biennial","N"
"CRMO6","Croton monanthogynus","NA","CRMO6","Croton monanthogynus","prairie tea","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"CROTO","Croton","NA","CROTO","Croton","croton","Euphorbiaceae","Spurge family","NA","NA","forb","annual-biennial","N"
"CRPE10","Cruciata pedemontana","NA","CRPE10","Cruciata pedemontana","piedmont bedstraw","Rubiaceae","Madder family","Forb/herb","Annual","forb","annual-biennial","I"
"CRTE4","Croton texensis","NA","CRTE4","Croton texensis","Texas croton","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"CUME4","Cuscuta megalocarpa","NA","CUME4","Cuscuta megalocarpa","bigfruit dodder","Cuscutaceae","Dodder family","Forb/herb, vine","Perennial","forb","summer","N"
"CUOR","Cunila origanoides","NA","CUOR","Cunila origanoides","common dittany","Lamiaceae","Mint family","Subshrub, Forb/herb","Perennial","forb","NA","N"
"CUSCU","Cuscuta","NA","CUSCU","Cuscuta","dodder","Cuscutaceae","Dodder family","NA","NA","forb","summer","N"
"CUVI","Cuphea viscosissima","NA","CUVI","Cuphea viscosissima","blue waxweed","Lythraceae","Loosestrife family","Forb/herb","Annual","forb","annual-biennial","N"
"CYAC","Cymopterus acaulis","NA","CYAC","Cymopterus acaulis","plains springparsley","Apiaceae","Carrot family","Forb/herb","Perennial","forb","spring","N"
"CYBU3","Cystopteris bulbifera","NA","CYBU3","Cystopteris bulbifera","bulblet bladderfern","Dryopteridaceae","Wood Fern family","Forb/herb","Perennial","fern","fern","N"
"CYEC2","Cyperus echinatus","NA","CYEC2","Cyperus echinatus","globe flatsedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CYES","Cyperus esculentus","NA","CYES","Cyperus esculentus","yellow nutsedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CYFR2","Cystopteris fragilis","NA","CYFR2","Cystopteris fragilis","brittle bladderfern","Dryopteridaceae","Wood Fern family","Forb/herb","Perennial","fern","fern","N"
"CYLA","Cynanchum laeve","NA","CYLA","Cynanchum laeve","honeyvine","Asclepiadaceae","Milkweed family","Forb/herb, vine","Perennial","forb","summer","N"
"CYLU2","Cyperus lupulinus","NA","CYLU2","Cyperus lupulinus","Great Plains flatsedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CYMO","Cymopterus montanus","NA","CYMO","Cymopterus montanus","mountain springparsley","Apiaceae","Carrot family","Forb/herb","Perennial","forb","NA","N"
"CYPER","Cyperus","NA","CYPER","Cyperus","flatsedge","Cyperaceae","Sedge family","Graminoid","NA","grass-like","grass-like","N"
"CYSQ","Cyperus squarrosus","NA","CYSQ","Cyperus squarrosus","bearded flatsedge","Cyperaceae","Sedge family","Graminoid","Annual","grass-like","grass-like","N"
"CYVI","Cynoglossum virginianum","NA","CYVI","Cynoglossum virginianum","wild comfrey","Boraginaceae","Borage family","Forb/herb","Perennial","forb","NA","N"
"CYXA","Cyclachaena xanthifolia","IVXA","IVXA","Iva xanthifolia","Big marsh-elder","Asteraceae","Aster family","Forb/herb","Annual","forb","annual-biennial","N"
"DAAU","Dalea aurea","NA","DAAU","Dalea aurea","golden prairie clover","Fabaceae","Pea family","Subshrub, Forb/herb","Perennial","forb","legume","N"
"DACA6","Daucus carota","NA","DACA6","Daucus carota","Queen Anne's lace","Apiaceae","Carrot family","Forb/herb","Biennial","forb","annual-biennial","I"
"DACA7","Dalea candida","NA","DACA7","Dalea candida","white prairie clover","Fabaceae","Pea family","Subshrub, Forb/herb","Perennial","forb","legume","N"
"DACAO","Dalea candida var. oligophylla","NA","DACAO","Dalea candida var. oligophylla","white prairie clover","Fabaceae","Pea family","Subshrub, Forb/herb","Perennial","forb","legume","N"
"DAGL","Dactylis glomerata","NA","DAGL","Dactylis glomerata","orchardgrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","I"
"DALEA","Dalea","NA","DALEA","Dalea","prairie clover","Fabaceae","Pea family","NA","NA","forb","legume","N"
"DAMU","Dalea multiflora","NA","DAMU","Dalea multiflora","roundhead prairie clover","Fabaceae","Pea family","Subshrub, Forb/herb","Perennial","forb","legume","N"
"DAPU5","Dalea purpurea","NA","NA","Dalea purpurea","purple prairie clover","Fabaceae","Pea family","Forb/herb","Perennial","forb","spring","N"
"DASP2","Danthonia spicata","NA","DASP2","Danthonia spicata","poverty oatgrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"DECA3","Delphinium carolinianum","NA","DECA3","Delphinium carolinianum","Carolina larkspur","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","spring","N"
"DECA7","Desmodium canadense","NA","DECA7","Desmodium canadense","showy ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DECA8","Desmodium canescens","NA","NA","NA","hoary ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","NA","N"
"DECI","Desmodium ciliare","NA","DECI","Desmodium ciliare","hairy small-leaf tichtrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","NA","N"
"DECU","Desmodium cuspidatum","NA","DECU","Desmodium cuspidatum","largebract ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DEDI2","Desmodium dillenii","NA","DEDI2","Desmodium dillenii","Dillenius' ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DEGL4","Desmodium glabellum","NA","DEGL4","Desmodium glabellum","Dillenius' ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DEGL5","Desmodium glutinosum","NA","DEGL5","Desmodium glutinosum","pointedleaf ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DEIL","Desmanthus illinoensis","NA","DEIL","Desmanthus illinoensis","Illinois bundleflower","Fabaceae","Pea family","Subshrub, Forb/herb","Perennial","forb","legume","N"
"DEIL2","Desmodium illinoense","NA","DEIL2","Desmodium illinoense","Illinois ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DEMA2","Desmodium marilandicum","NA","DEMA2","Desmodium marilandicum","smooth small-leaf ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","NA","N"
"DENU4","Desmodium nudiflorum","NA","DENU4","Desmodium nudiflorum","nakedflower ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DENU5","Desmodium nuttallii","NA","DENU5","Desmodium nuttallii","Nuttall's ticktrefoil","Fabaceae","Pea family","Subshrub, Forb/herb","Perennial","forb","legume","N"
"DEOB5","Desmodium obtusum","NA","DEOB5","Desmodium obtusum","stiff ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DEPA6","Desmodium paniculatum","NA","DEPA6","Desmodium paniculatum","panicledleaf ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DEPA7","Desmodium pauciflorum","NA","DEPA7","Desmodium pauciflorum","fewflower ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DEPE80","Desmodium perplexum","NA","DEPE80","Desmodium perplexum","perplexed ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DEPI","Descurainia pinnata","NA","DEPI","Descurainia pinnata","western tansymustard","Brassicaceae","Mustard family","Forb/herb","Annual, Biennial, Perennial","forb","annual-biennial","N"
"DERO3","Desmodium rotundifolium","NA","DERO3","Desmodium rotundifolium","prostrate ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"DESE","Desmodium sessilifolium","NA","DESE","Desmodium sessilifolium","sessileleaf ticktrefoil","Fabaceae","Pea family","Forb/herb","Perennial","forb","NA","N"
"DESMO","Desmodium","NA","DESMO","Desmodium","ticktrefoil","Fabaceae","Pea family","NA","NA","forb","legume","N"
"DESO2","Descurainia sophia","NA","DESO2","Descurainia sophia","herb sophia","Brassicaceae","Mustard family","Forb/herb","Annual, Biennial","forb","annual-biennial","I"
"DIAC2","Dichanthelium acuminatum","NA","DIAC2","Dichanthelium acuminatum","tapered rosette grass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"DIAM","Diarrhena americana","NA","DIAM","Diarrhena americana","American beakgrain","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"DIAR","Dianthus armeria","NA","DIAR","Dianthus armeria","Deptford pink","Caryophyllaceae","Pink family","Forb/herb","Annual, Biennial","forb","annual-biennial","I"
"DIBO2","Dichanthelium boscii","NA","DIBO2","Dichanthelium boscii","Bosc's panicgrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"DICHA2","Dichanthelium","NA","DICHA2","Dichanthelium","rosette grass","Poaceae","Grass family","Graminoid","NA","grass","coolgrass","N"
"DICL","Dichanthelium clandestinum","NA","DICL","Dichanthelium clandestinum","deertongue","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"DICO2","Dichanthelium commutatum","NA","DICO2","Dichanthelium commutatum","Variable panicgrass","Poaceae","Grass family","Graminoid","	Perennial","grass","NA","N"
"DICO6","Digitaria cognata","NA","DICO6","Digitaria cognata","fall witchgrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"DIDI6","Dichanthelium dichotomum","NA","DIDI6","Dichanthelium dichotomum","Cypress panicgrass","Poaceae","Grass family","Graminoid","	Perennial","grass","NA","N"
"DIIS","Digitaria ischaemum","NA","DIIS","Digitaria ischaemum","smooth crabgrass","Poaceae","Grass family","Graminoid","Annual","grass","NA","I"
"DILA8","Dichanthelium latifolium","NA","DILA8","Dichanthelium latifolium","broadleaf rosette grass","Poaceae","Grass family","Graminoid","Perennial","grass","NA","N"
"DILA9","Dichanthelium laxiflorum","NA","DILA9","Dichanthelium laxiflorum","openflower rosette grass","Poaceae","Grass family","Graminoid","	Perennial","grass","NA","N"
"DILI2","Dichanthelium linearifolium","NA","DILI2","Dichanthelium linearifoliumDichanthelium linearifolium","slimleaf panicgrass","Poaceae","Grass family","Graminoid","	Perennial","grass","NA","N"
"DIOB3","Diarrhena obovata","NA","DIOB3","Diarrhena obovata","obovate beakgrain","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"DIOL","Dichanthelium oligosanthes","NA","DIOL","Dichanthelium oligosanthes","Heller's rosette grass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"DIOLS","Dichanthelium oligosanthes var. scribnerianum","NA","DIOLS","Dichanthelium oligosanthes var. scribnerianum","Scribner's rosette grass","Poaceae","Grass family","Graminoid","Perennial","grass","NA","N"
"DIQU","Dioscorea quaternata","NA","DIQU","Dioscorea quaternata","fourleaf yam","Dioscoreaceae","Yam family","Forb/herb, vine","Perennial","forb","spring","N"
"DISA","Digitaria sanguinalis","NA","DISA","Digitaria sanguinalis","hairy crabgrass","Poaceae","Grass family","Graminoid","Annual","grass","warmgrass","I"
"DITE2","Diodia teres","NA","DITE2","Diodia teres","poorjoe","Rubiaceae","Madder family","Forb/herb","Annual, Perennial","forb","annual-biennial","N"
"DIVI4","Dioscorea villosa","NA","DIVI4","Dioscorea villosa","wild yam","Dioscoreaceae","Yam family","Forb/herb, vine","Perennial","forb","summer","N"
"DIVI5","Diospyros virginiana","NA","DIVI5","Diospyros virginiana","common persimmon","Ebenaceae","Ebony family","Tree","Perennial","woody","woody","N"
"DIVIP","Dichanthelium villosissimum var. praecocius","DIPR7","DIPR7","Dichanthelium praecocius","whitehair rosette grass","Poaceae","Grass family","Graminoid","	Perennial","grass","coolgrass","N"
"DIVIV","Dichanthelium villosissimum var. villosissimum","NA","DIVIV","Dichanthelium villosissimum var. villosissimum","whitehair rosette grass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"DIWI5","Dichanthelium wilcoxianum","NA","DIWI5","Dichanthelium wilcoxianum","fall rosette grass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"DOAM","Dodecatheon amethystinum","NA","DOAM","Dodecatheon amethystinum","jeweled shootingstar","Primulaceae","Primrose family","Forb/herb","Perennial","forb","spring","N"
"DOME","Dodecatheon meadia","NA","DOME","Dodecatheon meadia","pride of Ohio","Primulaceae","Primrose family","Forb/herb","Perennial","forb","spring","N"
"DRABA","Draba","NA","DRABA","Draba","draba","Brassicaceae","Mustard family","Forb/herb","Annual","forb","NA","N"
"DRBR","Draba brachycarpa","NA","DRBR","Draba brachycarpa","shortpod draba","Brassicaceae","Mustard family","Forb/herb","Annual","forb","annual-biennial","N"
"DRCU","Draba cuneifolia","NA","DRCU","Draba cuneifolia","wedgeleaf draba","Brassicaceae","Mustard family","Forb/herb","Annual","forb","annual-biennial","N"
"DRNE","Draba nemorosa","NA","DRNE","Draba nemorosa","woodland draba","Brassicaceae","Mustard family","Forb/herb","Annual","forb","annual-biennial","I"
"DRRE2","Draba reptans","NA","DRRE2","Draba reptans","Carolina draba","Brassicaceae","Mustard family","Forb/herb","Annual","forb","annual-biennial","N"
"DRYOP","Dryopteris","NA","DRYOP","Dryopteris","woodfern","Dryopteridaceae","Wood Fern family","Forb/herb","NA","fern","fern","N"
"ECAN2","Echinacea angustifolia","NA","ECAN2","Echinacea angustifolia","blacksamson echinacea","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"ECCR","Echinochloa crus-galli","NA","ECCR","Echinochloa crus-galli","barnyardgrass","Poaceae","Grass family","Graminoid","Annual","grass","NA","I"
"ECMU2","Echinochloa muricata","NA","ECMU2","Echinochloa muricata","rough barnyardgrass","Poaceae","Grass family","Graminoid","Annual","grass","NA","N"
"ECPA","Echinacea pallida","NA","ECPA","Echinacea pallida","pale purple coneflower","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"ECPU","Echinacea purpurea","NA","ECPU","Echinacea purpurea","eastern purple coneflower","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"ELCA3","Elephantopus carolinianus","NA","ELCA3","Elephantopus carolinianus","Carolina elephantsfoot","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"ELCA4","Elymus canadensis","NA","ELCA4","Elymus canadensis","Canada wildrye","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"ELCO2","Eleocharis compressa","NA","ELCO2","Eleocharis compressa","flatstem spikerush","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","NA","N"
"ELEL5","Elymus elymoides","NA","ELEL5","Elymus elymoides","squirreltail","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"ELEOC","Eleocharis","NA","ELEOC","Eleocharis","spikerush","Cyperaceae","Sedge family","Graminoid","NA","grass-like","grass-like","N"
"ELGL3","Elymus glabriflorus","NA","ELGL3","Elymus glabriflorus","southeastern wildrye","Poaceae","Grass family","Graminoid","Perennial","grass","NA","N"
"ELHYH","Elymus hystrix var. hystrix","NA","ELHYH","Elymus hystrix var. hystrix","eastern bottlebrush grass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"ELIN3","Eleusine indica","NA","ELIN3","Eleusine indica","Indian goosegrass","Poaceae","Grass family","Graminoid","Annual","forb","annual-biennial","I"
"ELMA","Elymus macgregorii","NA","ELMA","Elymus macgregorii","wildrye","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"ELNY","Ellisia nyctelea","NA","ELNY","Ellisia nyctelea","Aunt Lucy","Hydrophyllaceae","Waterleaf family","Forb/herb","Annual","forb","annual-biennial","N"
"ELOB2","Eleocharis obtusa","NA","ELOB2","Eleocharis obtusa","blunt spikerush","Cyperaceae","Sedge family","Graminoid","Annual, Perennial","grass-like","grass-like","N"
"ELRE4","Elymus repens","NA","ELRE4","Elymus repens","quackgrass","Poaceae","Grass family","Graminoid","Perennial","grass","NA","I"
"ELTR7","Elymus trachycaulus","NA","ELTR7","Elymus trachycaulus","slender wheatgrass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"ELUM","Elaeagnus umbellata","NA","ELUM","Elaeagnus umbellata","autumn olive","Elaeagnaceae","Oleaster family","Shrub","Perennial","woody","woody","I"
"ELVI","Elymus villosus","NA","ELVI","Elymus villosus","hairy wildrye","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"ELVI3","Elymus virginicus","NA","ELVI3","Elymus virginicus","Virginia wildrye","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"ELYMU","Elymus","NA","ELYMU","Elymus","wildrye","Poaceae","Grass family","Graminoid","NA","grass","coolgrass","N"
"ENBI","Enemion biternatum","ISBI2","ISBI2","Isopyrum biternatum","False rue anemone","Ranunculaceae","Buttercup family","Forb/herb","Perennial","forb","ephemeral","N"
"EQAR","Equisetum arvense","NA","EQAR","Equisetum arvense","field horsetail","Equisetaceae","Horsetail family","Forb/herb","Perennial","fern","fern","N"
"EQLA","Equisetum laevigatum","NA","EQLA","Equisetum laevigatum","smooth horsetail","Equisetaceae","Horsetail family","Forb/herb","Perennial","fern","fern","N"
"ERAL9","Erythronium albidum","NA","ERAL9","Erythronium albidum","white fawnlily","Liliaceae","Lily family","Forb/herb","Perennial","forb","ephemeral","N"
"ERAN","Erigeron annuus","NA","ERAN","Erigeron annuus","eastern daisy fleabane","Asteraceae","Aster family","Forb/herb","Annual","forb","annual-biennial","N"
"ERAN4","Eriogonum annuum","NA","ERAN4","Eriogonum annuum","annual buckwheat","Polygonaceae","Buckwheat family","Forb/herb","Annual, Biennial","forb","annual-biennial","N"
"ERAS2","Erysimum asperum","NA","ERAS2","Erysimum asperum","western wallflower","Brassicaceae","Mustard family","Forb/herb","Biennial, Perennial","forb","spring","N"
"ERBE2","Erigeron bellidiastrum","NA","ERBE2","Erigeron bellidiastrum","western daisy fleabane","Asteraceae","Aster family","Forb/herb","Annual","forb","annual-biennial","N"
"ERCA","Eragrostis capillaris","NA","ERCA","Eragrostis capillaris","lace grass","Poaceae","Grass family","Graminoid","Annual","grass","coolgrass","N"
"ERCA4","Erigeron canus","NA","ERCA4","Erigeron canus","hoary fleabane","Asteraceae","Aster family","Forb/herb","Perennial","forb","NA","N"
"ERCE2","Eriogonum cernuum","NA","ERCE2","Eriogonum cernuum","nodding buckwheat","Polygonaceae","Buckwheat family","Forb/herb","Annual","forb","annual-biennial","N"
"ERCH9","Erysimum cheiranthoides","NA","ERCH9","Erysimum cheiranthoides","wormseed wallflower","Brassicaceae","Mustard family","Forb/herb","Annual, Biennial","forb","annual-biennial","I"
"ERCI","Eragrostis cilianensis","NA","ERCI","Eragrostis cilianensis","stinkgrass","Poaceae","Grass family","Graminoid","Annual","grass","warmgrass","I"
"ERFL4","Eriogonum flavum","NA","ERFL4","Eriogonum flavum","alpine golden buckwheat","Polygonaceae","Buckwheat family","Subshrub, Forb/herb","Perennial","forb","spring","N"
"ERFR","Eragrostis frankii","NA","ERFR","Eragrostis frankii","sandbar lovegrass","Poaceae","Grass family","Graminoid","Annual","grass","warmgrass","N"
"ERGL2","Erigeron glabellus","NA","ERGL2","Erigeron glabellus","streamside fleabane","Asteraceae","Aster family","Forb/herb","Biennial, Perennial","forb","spring","N"
"ERHI","Eragrostis hirsuta","NA","ERHI","Eragrostis hirsuta","bigtop lovegrass","Poaceae","Grass family","Graminoid","Perennial","grass","summer","N"
"ERHI2","Erechtites hieraciifolia","NA","ERHI2","Erechtites hieraciifolia","American burnweed","Asteraceae","Aster family","Forb/herb","Annual","forb","annual-biennial","N"
"ERIGE2","Erigeron","NA","ERIGE2","Erigeron","fleabane","Asteraceae","Aster family","Forb/herb","NA","forb","NA","N"
"ERIOG","Eriogonum","NA","ERIOG","Eriogonum","buckwheat","Polygonaceae","Buckwheat family","Forb/herb","NA","forb","NA","N"
"ERME15","Erythronium mesochoreum","NA","ERME15","Erythronium mesochoreum","midland fawnlily","Liliaceae","Lily family","Forb/herb","Perennial","forb","ephemeral","N"
"ERPH","Erigeron philadelphicus","NA","ERPH","Erigeron philadelphicus","Philadelphia fleabane","Asteraceae","Aster family","Forb/herb","Biennial, Perennial","forb","ephemeral","N"
"ERPU","Erigeron pulchellus","NA","ERPU","Erigeron pulchellus","robin's plantain","Asteraceae","Aster family","Forb/herb","Perennial","forb","annual-biennial","N"
"ERPU2","Erigeron pumilus","NA","ERPU2","Erigeron pumilus","shaggy fleabane","Asteraceae","Aster family","Forb/herb","Perennial","forb","spring","N"
"ERSP","Eragrostis spectabilis","NA","ERSP","Eragrostis spectabilis","purple lovegrass","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"ERST3","Erigeron strigosus","NA","ERST3","Erigeron strigosus","prairie fleabane","Asteraceae","Aster family","Forb/herb","Annual, Biennial, Perennial","forb","annual-biennial","N"
"ERVI3","Eriochloa villosa","NA","ERVI3","Eriochloa villosa","hairy cupgrass","Poaceae","Grass family","Graminoid","Annual","forb","annual-biennial","I"
"ERYU","Eryngium yuccifolium","NA","ERYU","Eryngium yuccifolium","button eryngo","Apiaceae","Carrot family","Forb/herb","Perennial","forb","summer","N"
"ESMI3","Escobaria missouriensis","ESMIM2","ESMIM2","Escobaria missouriensis var. missouriensis","Missouri coryphanthe","Cactaceae","Cactus family","Shrub","Perennial","forb","succulent","N"
"ESVIV","Escobaria vivipara var. vivipara","COVI9","COVI9","Coryphantha vivipara","Pincushion cactus","Cactaceae","Cactus family","Shrub","Perennial","forb","succulent","N"
"EUAL13","Euonymus alatus","NA","EUAL13","Euonymus alatus","burning bush","Celastraceae","Bittersweet family","Shrub","Perennial","woody","NA","I"
"EUAL3","Eupatorium altissimum","NA","EUAL3","Eupatorium altissimum","tall thoroughwort","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"EUAT3","Euonymus atropurpureus","NA","EUAT3","Euonymus atropurpureus","burningbush","Celastraceae","Bittersweet family","Shrub","Perennial","woody","NA","N"
"EUAT5","Euonymus atropurpureus","EUAT3","EUAT3","Euonymus atropurpurea","Eastern burning bush ","Celastraceae","Bittersweet family","Shrub, tree","Perennial","woody","woody","N"
"EUBR","Euphorbia brachycera","EURO5","EURO5","Euphorbia robusta","Spurge ","Euphorbiaceae","Spurge family","Forb/herb","	Perennial","forb","summer","N"
"EUCO10","Euphorbia corollata","NA","EUCO10","Euphorbia corollata","flowering spurge","Euphorbiaceae","Spurge family","Forb/herb","Perennial","forb","summer","N"
"EUCY","Euphorbia cyathophora","NA","EUCY","Euphorbia cyathophora","fire on the mountain","Euphorbiaceae","Spurge family","Forb/herb","Annual, Perennial","forb","annual-biennial","N"
"EUDE4","Euphorbia dentata","NA","EUDE4","Euphorbia dentata","toothed spurge","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"EUFO5","Euonymus fortunei","NA","EUFO5","Euonymus fortunei","winter creeper","Celastraceae","Bittersweet family","Shrub","Perennial","woody","NA","I"
"EUGR5","Euthamia graminifolia","NA","EUGR5","Euthamia graminifolia","flat-top goldentop","Asteraceae","Aster family","Forb/herb","Perennial","forb","NA","N"
"EUGY","Euthamia gymnospermoides","NA","EUGY","Euthamia gymnospermoides","Texas goldentop","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"EUMA8","Euphorbia marginata","NA","EUMA8","Euphorbia marginata","snow on the mountain","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"EUONY2","Euonymus","NA","EUONY2","Euonymus","spindletree","Celastraceae","Bittersweet family","Shrub","Perennial","woody","woody","I"
"EUPE3","Eupatorium perfoliatum","NA","EUPE3","Eupatorium perfoliatum","common boneset","Asteraceae","Aster family","Forb/herb","Perennial","forb","forb","N"
"EUPHO","Euphorbia","NA","EUPHO","Euphorbia","spurge","Euphorbiaceae","Spurge family","Forb/herb","NA","forb","NA","N"
"EUSE2","Eupatorium serotinum","NA","EUSE2","Eupatorium serotinum","lateflowering thoroughwort","Asteraceae","Aster family","Forb/herb","Perennial","forb","NA","N"
"EUSP","Euphorbia spathulata","NA","EUSP","Euphorbia spathulata","warty spurge","Euphorbiaceae","Spurge family","Forb/herb","Annual, Perennial","forb","annual-biennial","N"
"EVNU","Evolvulus nuttallianus","NA","EVNU","Evolvulus nuttallianus","shaggy dwarf morning-glory","Convolvulaceae","Morning-glory family","Subshrub, Forb/herb","Perennial","forb","spring","N"
"FAES2","Fagopyrum esculentum","FAVU2","FAVU2","Fagopyrum vulgare","Buckwheat ","Polygonaceae","Buckwheat family","Forb/herb","Annual","forb","annual-biennial","I"
"FEPA2","Festuca paradoxa","NA","FEPA2","Festuca paradoxa","clustered fescue","Poaceae","Grass family","Graminoid","Perennial","grass","NA","N"
"FESU3","Festuca subverticillata","NA","FESU3","Festuca subverticillata","nodding fescue","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"FLIN2","Fleischmannia incarnata","NA","FLIN2","Fleischmannia incarnata","pink thoroughwort","Asteraceae","Aster family","Forb/herb","Perennial","forb","NA","N"
"FRAGA","Fragaria","NA","FRAGA","Fragaria","strawberry","Rosaceae","Rose family","Forb/herb","NA","woody","NA","N"
"FRAM2","Fraxinus americana","NA","FRAM2","Fraxinus americana","white ash","Oleaceae","Olive family","Tree","Perennial","woody","woody","N"
"FRAXI","Fraxinus","NA","FRAXI","Fraxinus","ash","Oleaceae","Olive family","Tree","	Perennial","woody","woody","N"
"FRCA13","Frangula caroliniana","NA","FRCA13","Frangula caroliniana","Carolina buckthorn","Rhamnaceae","Rhamnaceae","Tree","Perennial","woody","NA","N"
"FRNI","Fraxinus nigra","NA","FRNI","Fraxinus nigra","black ash","Oleaceae","Olive family","Tree","Perennial","woody","NA","N"
"FRPE","Fraxinus pennsylvanica","NA","FRPE","Fraxinus pennsylvanica","green ash","Oleaceae","Olive family","Tree","Perennial","woody","woody","N"
"FRVI","Fragaria virginiana","NA","FRVI","Fragaria virginiana","Virginia strawberry","Rosaceae","Rose family","Forb/herb","Perennial","forb","spring","N"
"GAAP2","Galium aparine","NA","GAAP2","Galium aparine","stickywilly","Rubiaceae","Madder family","Forb/herb, vine","Annual","forb","annual-biennial","N"
"GAAR4","Galium arkansanum","NA","GAAR4","Galium arkansanum","Arkansas bedstraw","Rubiaceae","Madder family","Forb/herb","Perennial","forb","spring","N"
"GAAS2","Galium asprellum","NA","GAAS2","Galium asprellum","rough bedstraw","Rubiaceae","Madder family","Forb/herb","Perennial","forb","spring","N"
"GABI2","Gaura biennis","NA","GABI2","Gaura biennis","biennial beeblossom","Onagraceae","Evening Primrose family","Forb/herb","Biennial","forb","annual-biennial","N"
